Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Details: Program Category,Information: Tagline,Information: Quote,Information: Quote Source,Information: Program Description,Information: Special Notes,Details: Date Text,Details: Time Text,Details: Listing Day and Time Text,Details: Location Text,Details: Location Link,Details: Dana Text,Registration: SIGNED-OUT Instructions,Registration: SIGNED-IN Instructions,Registration: Required?,Registration Closed,Collection: Teacher/Facilitator(s),Dashboard: Special Announcement,Dashboard: Early Arrival Message,Dashboard: Remove From Program List,Hide from Program Page List,Sorting: Day of the Week,Sorting: Sort Order,Large Program Image,Day Filtering,Fillout Registration Form,Event Time,Zoom Link,Zoom Link Link Text
Awakening The Heart,awakening-the-heart,5fa08aefda60b60f4d84b62a,653aca94fee370592ef53f08,5fa08ca36c0da912ad53850f,false,false,Mon Nov 02 2020 22:48:03 GMT+0000 (Coordinated Universal Time),Wed Jan 14 2026 17:15:54 GMT+0000 (Coordinated Universal Time),Wed Jan 14 2026 17:15:54 GMT+0000 (Coordinated Universal Time),drop-ins-open-practice-and-learning,"Cultivating a Warm, Open, Joyful, and Loving Heart","""The key to a happier and more successful world is the growth of compassion. We do not need to become religious, nor do we need to believe in an ideology. All that is necessary is for each of us to develop our good human qualities.""",The Fourteenth Dalai Lama,"<h3 id="""">About this Drop-In</h3><p id="""">These ongoing Awakening The Heart drop-ins meet every Monday morning and are dedicated to cultivating warm, open, and caring hearts through teachings and meditation centered around the four immeasurables: loving-kindness, compassion, appreciative joy, and equanimity. These practices promote well-being for ourselves, others, and the world.</p><p id="""">During each session, we will explore diverse techniques and practices for cultivating these virtues, including meditation and Loving-Kindness meditation. We will also discuss how these teachings and practices can be integrated into our daily lives.</p>","<p id="""">No registration is necessary for this group, and is open to all community members. Whether you are new to these practices or have been practicing for many years, you are welcome to join us as we learn and practice together. We hope you will join us and discover the benefits of cultivating greater warmth, openness and care in your life and our shared world.<br></p>",Every Monday Morning ,9:30-10:30 AM,Mondays | 9:30-10:30 am (CT) | Zoom Only,Online (Zoom) only,,Suggested Donation: $10-$20,"<p>To participate in this and other RIM&nbsp;community programs, please <a href=""/community-membership"">Create a (free) Member Account</a>. If you already have an account, simply <a href=""/login"">Sign-In</a> and go to your dashboard.</p>","<p id="""">As a RIM&nbsp;community member, you have access to this offering. A zoom link is accessible in your <a href=""/account/dashboard"">dashboard</a>.</p><p id=""""> </p>",,false,jesse-foy,,You are welcome to join within 10 minutes of the start time for community sharing and fellowship.,,false,monday,1.2,https://cdn.prod.website-files.com/5c1d5875be406805d3bb99dd/5fac407cd0a8a8b60628bb39_Pink%20Lotus.jpg,Monday,,,https://us02web.zoom.us/j/81810118068?pwd=B4Uz26aG4QYXWb1kFwk2qnRL1qn7f4.1,Join Zoom
Bookmarks & Breath,bookmarks-breath,5fa08aefda60b60f4d84b62a,653aca94fee370592ef53f08,697f67f67c2c286a810dc593,false,false,Sun Feb 01 2026 14:49:26 GMT+0000 (Coordinated Universal Time),Thu Feb 05 2026 02:04:57 GMT+0000 (Coordinated Universal Time),Thu Feb 05 2026 02:04:57 GMT+0000 (Coordinated Universal Time),community-groups-events,Kalyana Mitta Book Club,“We are all apprentices in a craft where no one ever becomes a master.”,Pema Chödrön,"<p>Bookmarks &amp; Breath is a new quarterly book club at Rooted in Mindfulness. </p><p>We invite people of all experience levels to explore these books together. The goal is connection, curiosity, and shared learning, not having the right answers. Our intention is to create a space that feels welcoming, easy, fun, and human - a place for to get to know each other off our mats. There is no pressure to sound wise or polished, curiosity is more than enough.</p><p>The group will meet in person for about an hour at Rooted in Mindfulness, with no virtual option. Time together will include casual conversation and introductions, followed by a circle-style discussion using question cards inspired by the book. Each person will have a few minutes to share, supported by a timer so all voices are heard, and the gathering will close with open discussion. We welcome you to read, reflect, and come join our in our sharing.</p><p>Read deeply. Breathe fully. Share openly. </p><p>This community offering is hosted by Gina Dundun, a member of the RIM&nbsp;community and a fellow participant.</p>","<p><strong>The first book selection is ""The Places That Scare You: A Guide to Fearlessness in Difficult Times"" by Pema Chödrön</strong>, a compassionate and practical exploration of how we meet fear, discomfort, and uncertainty. </p><p>Participants are encouraged to read the book in advance to support thoughtful discussion, though you are still welcome if you have not finished every page. ;-)</p><p><strong>FIRST MEETING</strong>:&nbsp;Monday, Mar 30, 6:00pm</p>",Quarterly on Monday Evenings | Mar 30 - First Meeting,6:00 - 7:00 pm ,Mondays Quarterly | 1st Meeting: Mar 30,In-Person at RIM,https://share.google/8IAfRa1OKP5gGDr1S,By Donation (Dana) | Optional,"<p>To participate in this and other RIM&nbsp;community programs, please <a href=""/community-membership"">Create a (free) Member Account</a>. If you already have an account, simply <a href=""/login"">Sign-In</a> and register to let us know you are interested.</p>","<p>To participate, all you need to do is let us know you are interested by registering below! </p>",true,false,gina-dundun,"First Meeting: Mon Eve, March 30",,true,true,monday,1.8,https://cdn.prod.website-files.com/5c1d5875be406805d3bb99dd/5fac40b7334f858c94469c44_Real%20Change.jpg,Monday,1MNKNhcQDbus,6:00 PM,,
Boundless Heart,boundless-heart,5fa08aefda60b60f4d84b62a,653aca94fee370592ef53f08,66c257c9771e14d3a5328c49,true,false,Sun Aug 18 2024 20:21:29 GMT+0000 (Coordinated Universal Time),Thu Oct 31 2024 10:26:14 GMT+0000 (Coordinated Universal Time),,classes-courses-and-workshops,"The study and practice of the Brahma Viharas: Kindness, Compassion, Joy, and Equanimity.","""The Brahma Viharas—loving-kindness, compassion, sympathetic joy, and equanimity—are not qualities we need to create; they are qualities we uncover, cultivate, and live from in our lives."" ",Christina Feldman,"<p id=""""><em id="""">""At the heart of the teachings of the brahma viharas there is an invitation to radically transform the shape of our hearts through understanding. In their deepest sense, the brahma viharas are pathways of insight that bring confusion, greed, and hatred to an end, liberating the heart and establishing the mind in unshakeable and immeasurable kindness, compassion, joy and equanimity. They teach us to live in this world fearlessly, how to be a true friend to ourselves and others, and to cultivate an inner abiding that is a true refuge. They ennoble our lives and contribute to the healing of our world.""</em> - Christina Feldman<br></p><p id="""">Using Christina Feldman's book ""Boundless Heart,"" we will study and practice the Buddhist Brahma Viharas.<br><br>Holding the deepest question of who we want to be in the world, we will practice the steadiness of equanimity, the aliveness of joy, the tenderness of kindness, and the 'being' of compassion.</p><p id="""">‍</p>","<p id="""">Registration Closes Soon!</p><p id="""">This course is held <strong id="""">in person</strong> at RIM. </p><p id="""">Reading the book <a href=""https://read.amazon.com/kp/embed?asin=B01MQZIQPB&preview=newtab&linkCode=kpe&ref_=kip_embed_taf_preview_ZD0JT6RS7Q07DEQ4B91F"" id="""">""Boundless Heart""</a> is encouraged but not required.</p>","5 Wednesdays in October: 2, 9, 16, 23, 30",6:45 - 8:00 pm,"5 Wednesdays in October: 2, 9, 16, 23, 30 | 6:45 - 8:00 pm",Rooted In Mindfulness | In Person Only,https://maps.app.goo.gl/2kTpvyjQd3epnTGD8,Suggested Program Dana (Donation) - $75,"<p id="""">Registration is closed. </p><p id="""">‍</p>","<p id="""">Registration is closed. </p><p id="""">‍</p>",true,true,sara-neall,Registration is closed.,,true,false,wednesday,,,Wednesday,h3ZVtuXrsFus,6:45 pm,,
Community Peace Meditation,community-peace-meditation,5fa08aefda60b60f4d84b62a,653aca94fee370592ef53f08,653294d1d59160331f3cc9c6,true,false,Fri Oct 20 2023 14:55:13 GMT+0000 (Coordinated Universal Time),Thu Jul 31 2025 20:16:14 GMT+0000 (Coordinated Universal Time),,community-groups-events,Connecting our Hearts in Peace,"""It is my conviction that there is no way to peace—peace is the way.""",Thích Nhất Hạnh,"<h3 id="""">About this Drop-In</h3><p id="""">Amid challenging times, many seek peace, resilience, and a desire to be part of a healthy response. Our weekly Peace Meditation provides a collective space where we can protect and nurture the tranquility that resides within our hearts. This practice supports our engagement with life, empowering us to act with wisdom and compassion. We find strength and direction by acknowledging the shared humanity that binds us.</p><p id="""">Every Friday, we come together online, creating a space to bring light to ourselves, others, and the world during these challenging times. Our sessions begin with a unifying sequence, grounding us in the present and preparing us to cultivate inner peace. Most of our gathering is held in noble silence, allowing for profound introspection, with only the initial guidance provided by the facilitator. We rest in the healing resource of our breath, exploring the boundless potential of heart-centered connection. We imagine this peace extending beyond our immediate surroundings, connecting with others, and reaching out to the world.</p><p id="""">In this virtual space, we co-create an atmosphere of calm, healing, care, and understanding. Our goal is to find peace within and radiate it outward, influencing the larger world around us.</p>","<p id="""">This Meditation will be generously offered by community member Anna Lelko.<br></p>",Every Friday Evening,7:30-8:00 pm,Fridays | 7:30-8:00 pm (CT) | Zoom Only,Online (Zoom) only,,Offered in the Spirit of Dana,"<p>To participate in this and other RIM&nbsp;community programs, please <a href=""/community-membership"">Create a (free) Member Account</a>. If you already have an account, simply <a href=""/login"">Sign-In</a> and go to your dashboard.</p>","<p id="""">As a RIM&nbsp;community member, you have access to this offering. A zoom link is accessible in your <a href=""/account/dashboard"">dashboard</a>.</p><p id=""""> </p>",false,false,rim-community-members,,,false,false,friday,1.2,https://cdn.prod.website-files.com/5c1d5875be406805d3bb99dd/5fac407cd0a8a8b60628bb39_Pink%20Lotus.jpg,Friday,,7:30 PM,https://us02web.zoom.us/j/86108340892?pwd=isMJjEezKwP20W0XIUL5qwKLmSbRbj.1,Join Zoom
Day of Mindfulness,day-of-mindfulness,5fa08aefda60b60f4d84b62a,653aca94fee370592ef53f08,6407b704d2869e1ffec4aac7,true,false,Tue Mar 07 2023 22:13:24 GMT+0000 (Coordinated Universal Time),Fri Jan 23 2026 16:49:43 GMT+0000 (Coordinated Universal Time),,,Retreats strengthen formal practice and mindful living. ,"“With mindfulness, you can establish yourself in the present in order to touch the wonders of life that are available in that moment.”",Thich Nhat Hanh,"<h4 id="""">About this Retreat</h4><p id="""">Gift yourself a day of deep connection and self-care. Join us for a Day of Mindfulness to take care of body, heart, mind, and life. This retreat is designed to help you be present, connect deeply with life, and engage with the world more meaningfully.</p><p id=""""><strong id="""">Deepening Practice and Understanding</strong></p><p id="""">Our retreats focus on establishing and deepening your meditation practice, promoting a mindful life, and guiding you toward greater health, well-being, freedom, and awakening. They offer tools to skillfully navigate life's challenges such as stress, depression, and anxiety, fostering a journey from ill-being to well-being.</p><p id=""""><strong id="""">Cultivating Peace and Presence</strong></p><p id="""">Experience a special awareness that reconnects you with your innate wisdom and compassion, guiding you towards a fulfilling life. Guided meditations, teachings, nature immersion, community togetherness, and noble silence enhance your ability to live joyfully and meaningfully.</p><p id=""""><strong id="""">Rediscover What Matters Most</strong></p><p id="""">Life's stresses can obscure our core values and healthiest choices. This retreat offers a pause to rediscover what inspires authentic and purposeful living, bringing insight into true well-being, health, and happiness, and integrating these insights into daily life.</p><p id=""""><strong id="""">Living Authentically</strong></p><p id="""">Learn strategies that foster mindful awareness and align with your highest good. This retreat nurtures well-being on all levels—physical, emotional, and spiritual—empowering you to embody healthy ways of being.</p><p id=""""><strong id="""">A Transformative Experience</strong></p><p id="""">Beyond a break from routine, this Day of Mindfulness is an act of self-care that offers tools and insights for a more satisfying life. It supports you in navigating life's challenges gracefully and making enriching choices.</p><p id=""""><strong id="""">A Commitment to Mindful Living</strong></p><p id="""">See this Day of Mindfulness as a step towards a happier, healthier, and more mindful existence. It deepens your present-moment connection, authenticity, and appreciation of life's beauty, offering not just relaxation but meaningful change.</p>","<p>This retreat is held at<strong id=""""> </strong><a href=""https://ucci.org/cedar-valley/""><strong id="""">Cedar Valley</strong></a><strong id=""""> - UCCI, 5349 Co Rd D, West Bend, WI 53090</strong></p>",Saturday Feb 22,9:00 am - 3:00 pm,Saturday | Feb 22 | 9:00 am - 3:00 pm (CT),Cedar Valley Retreat Center,https://maps.app.goo.gl/NA2ejzVbWEzSomAbA,"Suggested Dana (Contribution) - $175, $125, $75, or Other","<p id="""">Registration is closed. Please email us to be waitlisted. </p>","<p id="""">Registration is closed. Please email us to be waitlisted. </p><p id="""">‍</p>",true,true,jesse-foy,,,true,false,saturday,6.3,https://cdn.prod.website-files.com/5c1d5875be406805d3bb99dd/5fac40ce9f249aadb9c18c12_Sky.jpg,Saturday,gFMyxTJst7us,,,
Day of Mindfulness,day-of-mindfulness-may-2025,5fa08aefda60b60f4d84b62a,653aca94fee370592ef53f08,67d6e31a033d6f2b930fb6cf,false,false,Sun Mar 16 2025 14:41:30 GMT+0000 (Coordinated Universal Time),Fri Jan 23 2026 16:51:51 GMT+0000 (Coordinated Universal Time),Sat Jan 31 2026 23:29:53 GMT+0000 (Coordinated Universal Time),,"Saturday, May 17","“With mindfulness, you can establish yourself in the present in order to touch the wonders of life that are available in that moment.”",Thich Nhat Hanh,"<h3>You are Invited to a Gentle Day of Presence and Care</h3><p>Taking time to pause and care for ourselves helps us reconnect with what’s already whole within us. This Day of Mindfulness offers a peaceful space to rest, reflect, and return to the strength and clarity we carry inside.</p><p>Whether you’re new to mindfulness or an experienced practitioner, this retreat offers a simple, supportive space to reconnect—with yourself, others, and life.</p><h3>What to Expect</h3><p>This day-long retreat blends the quiet power of silence with the nourishment of community. We’ll explore:</p><ul><li><strong>Guided meditations</strong> to cultivate calm and clarity</li><li><strong>Mindful movement</strong> to connect body and breath</li><li><strong>Teachings and reflections</strong> grounded in compassion and presence</li><li><strong>Time in nature</strong> to remember your place in the larger web of life</li><li><strong>Noble silence</strong> to support inward turning and deep listening</li><li><strong>Community togetherness</strong>—being alone, together, in peace</li></ul><p>There’s no pressure to perform or “get it right”—just an open invitation to show up as you are.</p><h3>Why Attend?</h3><p>This retreat is an opportunity to:</p><ul><li>Step out of routine and into presence</li><li>Recharge emotionally, physically, and spiritually</li><li>Gain insight into patterns of stress and reactivity</li><li>Nurture compassion for yourself and others</li><li>Remember what matters most in your life</li><li>Experience meaningful rest, reflection, and renewal</li></ul><h3>A Day for You</h3><p>Many people find that even one day of mindfulness can create a powerful shift in how they relate to life. This isn’t about escaping the world—it’s about learning to be more present and alive within it.</p><p>We invite you to take this time for yourself—not as a luxury, but as a way to care deeply for your well-being and return to your life with more peace, wisdom, and intention.</p>","<p>This retreat is held at<strong id=""""> </strong><a href=""https://ucci.org/cedar-valley/""><strong id="""">Cedar Valley</strong></a><strong id=""""> - UCCI, 5349 Co Rd D, West Bend, WI 53090</strong></p>",Saturday May 17,9:30 am - 3:30 pm,Saturday | May 17 | 9:30 am - 3:30 pm (CT) | Registration has closed.,Cedar Valley Retreat Center,https://maps.app.goo.gl/NA2ejzVbWEzSomAbA,Generosity-Based Offering (Dana / Donation),<p>Registration has closed.</p>,"<p id="""">Registration has closed. </p>",true,false,jesse-foy,,,true,false,saturday,6.3,https://cdn.prod.website-files.com/5c1d5875be406805d3bb99dd/5fac40ce9f249aadb9c18c12_Sky.jpg,Saturday,,,,
Day of Mindfulness,day-of-mindfulness-march-2026,5fa08aefda60b60f4d84b62a,653aca94fee370592ef53f08,6979270dbe63a5bc0a023393,false,false,Tue Jan 27 2026 20:58:53 GMT+0000 (Coordinated Universal Time),Tue Feb 03 2026 19:01:52 GMT+0000 (Coordinated Universal Time),Tue Feb 03 2026 19:01:52 GMT+0000 (Coordinated Universal Time),retreats-workshops,DAYLONG RETREAT,"“With mindfulness, you can establish yourself in the present in order to touch the wonders of life that are available in that moment.”",Thich Nhat Hanh,"<h3>About this Day Retreat</h3><p>Sometimes it's good to have longer periods to rest into our practice. We need dedicated time—time to truly stop, to let the body unwind, to remember what it feels like to just be without the pressures of our to-dos and agendas. Time to move more slowly and to be fully present with ourselves. A Day of Mindfulness offers that kind of time: space to compassionately deepen our understanding of ourselves and care for ourselves with kindness.</p><p>This day is an opportunity for extended practice, rest, integration, and healing. It can support those who want to go deeper in their formal practice, and for those just beginning, it offers a supportive, guided introduction to meditation and mindful living.</p><h3>Noble Silence</h3><p>We spend most of the day in what's called ""noble silence."" It's not silence as a rule or restriction—it's silence undertaken with intention, as an act of care for ourselves and others. Without small talk, without phones, without needing to be ""on,"" something in us can settle. The mind grows quieter. The body relaxes. We can turn inward and listen more deeply to our own experience—and to this life we're living.</p><p>That listening is a gift: to ourselves, to those we love, and to the world we're part of.</p><h3>What the Day Includes</h3><p>You'll be gently guided throughout the day, with plenty of room for quiet, restful contemplation.</p><ul><li>Guided and silent sitting meditation</li><li>Walking meditation outdoors and/or indoors</li><li>A meal eaten together in silence—the comfort of community without the pressure to engage</li><li>Brief teachings and reflection</li><li>Time for rest and solitude in nature or in supportive indoor spaces</li><li>Optional dialogue near the end of the day to support integration</li></ul><h3>Who This Day Is For</h3><p>People come carrying all sorts of things—the momentum of their lives and the full spectrum of what it means to be human:</p><ul><li>Stress, grief, exhaustion, overwhelm</li><li>The weight of personal and societal pressures</li><li>A longing for healing, stillness, or rest</li><li>A desire to appreciate what is already well and healthy</li></ul><p>You don't need to arrive in any particular state. You're coming to be with your life more fully. Whatever brings you, you are welcome.</p><h3>What This Day Can Offer</h3><p>A&nbsp;Day of Mindfulness Retreat is gentle, yet profoundly supportive—and often deeply transformative. It can be a kind of medicine: not a way to ""fix"" ourselves, but a way to access our innate capacity to live with greater resilience, understanding, and compassion—for ourselves and others.</p><p>In that space, a healthier relationship with our minds and lives becomes even more possible. We grow our capacity to see the patterns that create unnecessary stress and suffering—and to loosen their grip. We learn to live in a more healing and integrated way.</p><p>By the end of the day, most people feel different. Not fixed—just more settled. More in their bodies. More connected. More able to remember and stay connected to what is important, well, and good. This is profoundly supportive of our intentions to live well and be happy.</p><h3>Open to Everyone</h3><p>This retreat welcomes newcomers and experienced practitioners alike. There's no pressure to do anything perfectly—you're coming to rest, and to be. All you need to do is show up to the fullness of yourself and your life.</p><p>The day includes a meal and refreshments.</p>","<h3>Location: Cedar Valley</h3><p>The retreat is held at<strong> </strong><a href=""https://ucci.org/cedar-valley/""><strong>Cedar Valley</strong></a><strong> - UCCI, 5349 Co Rd D, West Bend, WI 53090</strong>, a quiet setting of woods, prairies, a pond, trails, and more. It's a good place to let the pace of the land, facilities, and intentional people support one another.</p>",Saturday Mar 21,9:30 am - 3:30 pm,Saturday | Mar 21 | 9:30 am - 3:30 pm (CT) | 9:30 am - 3:30 pm,Cedar Valley Retreat Center,https://maps.app.goo.gl/NA2ejzVbWEzSomAbA,By Donation: Suggested $125.00,"<p>To participate in this and other RIM community programs, please <a href=""https://www.rootedinmindfulness.org/community-membership"" target=""_blank"">Create a (free) Member Account.</a> If you already have an account, sign in and register.</p><p>‍</p>",<p>Reserve your spot today. &nbsp;Please register with the form below.</p><p>‍</p>,true,false,jesse-foy,,,true,false,saturday,6.3,https://cdn.prod.website-files.com/5c1d5875be406805d3bb99dd/5fac40ce9f249aadb9c18c12_Sky.jpg,Saturday,iw5MzMMBevus,,,
Day of Mindfulness April 2024,day-of-mindfulness-april-2024,5fa08aefda60b60f4d84b62a,653aca94fee370592ef53f08,65f0b95bd3d3f00e93c53e9c,true,false,Tue Mar 12 2024 20:21:47 GMT+0000 (Coordinated Universal Time),Wed Apr 24 2024 22:50:51 GMT+0000 (Coordinated Universal Time),,retreats-workshops,Retreats strengthen formal practice and mindful living. ,"“With mindfulness, you can establish yourself in the present in order to touch the wonders of life that are available in that moment.”",Thich Nhat Hanh,"<h4 id="""">About this Retreat</h4><p id="""">Step away from the hustle and bustle of daily life and immerse yourself in a supportive, day-long mindfulness retreat. This meaningful day will allow you to cultivate presence, reduce stress, and deepen your connection with yourself and your life.</p><h4 id="""">Taking Care of Yourself</h4><p id="""">During this retreat, you will be guided through various mindfulness practices designed to learn and/or deepen your meditation skills, foster greater mindfulness, open your heart, and realize your innate capacity for happiness and well-being. You will be supported with traditional and modern teachings, guided meditations, time in nature, community support, and periods of noble silence for inner contemplation and practice. Discover and Learn</p><p id=""""><strong id="""">‍</strong>Focus on establishing and deepening your meditation practice, promoting a mindful life, and guiding you toward greater health, well-being, freedom, and awakening. Learn tools to skillfully navigate life's challenges, such as stress, depression, and anxiety, fostering a journey from ill-being to well-being.</p><h4 id="""">Rediscover and Uncover Your Innate Goodness and Well-being</h4><p id="""">Discover how meditation and mindful awareness can reconnect you with your innate wisdom and compassion, guiding you toward a fulfilling life. This retreat offers a pause to rediscover what inspires authentic and purposeful living, bringing insight into true well-being, health, and happiness and integrating these insights into daily life.</p><h4 id="""">Embrace Self-Care and Transformation</h4><p id="""">See this Day of Mindfulness as an act of self-care that provides tools and insights for a more satisfying life. It supports you in navigating life's challenges with grace and making enriching choices. This retreat is a step towards a happier, healthier, and more mindful existence, deepening your present-moment connection, authenticity, and appreciation of life's beauty, offering relaxation and meaningful change.</p><h4 id="""">Please Join Us</h4><p id="""">Join us for this transformative experience and take the first step toward a more mindful and fulfilling life. Register to reserve your spot. Space is limited, so early registration is encouraged.</p>","<h4 id="""">Special Note About this Retreat</h4><p id=""""><strong id="""">Lunch and Snacks: </strong>A vegetarian lunch, coffee, water, and tea are provided.</p><p id=""""><strong id="""">Location: </strong>This retreat is held at Cedar Valley, nestled on 100 beautiful acres adorned with winding trails, a reflection pond, an outdoor labyrinth, and a chapel—all designed to enhance and support your experience during this retreat.</p>","Saturday, April 20, 2024",9:30 am - 3:30 pm,Saturday | Apr 20 | 9:30 am - 3:30 pm (CT) ,"Cedar Valley | 5349 Co Rd D, West Bend, WI 53090",https://maps.app.goo.gl/iUuJVxxE5JkRFmjw6,Suggested Program Dana (Donation) - $125,"<p id="""">To participate in this retreat and other RIM&nbsp;community programs, please <a href=""/community-membership"" id="""">Create a (free) Member Account</a>. If you already have an account, simply <a href=""/login"" id="""">Sign-In</a> and go to your dashboard.</p><p id=""""> </p>","<p id="""">Sorry, this retreat is full. Registration is Closed.</p>",false,false,jesse-foy,This retreat is full.,,true,false,saturday,6.3,https://uploads-ssl.webflow.com/5c1d5875be406805d3bb99dd/5fac40ce9f249aadb9c18c12_Sky.jpg,Saturday,,,,
Eating With Mindful Intention,eating-with-mindful-intention,5fa08aefda60b60f4d84b62a,653aca94fee370592ef53f08,6721491e395bad945efe8b72,true,false,Tue Oct 29 2024 20:44:14 GMT+0000 (Coordinated Universal Time),Fri Nov 22 2024 22:17:30 GMT+0000 (Coordinated Universal Time),,classes-courses-and-workshops,WORKSHOP,"""Eating with Mindfulness and gratitude, our food becomes sacred nourishment.” ",Source Unknown,"<p id="""">When we develop a practice of meditation and mindful living, we become more available to choose what's nourishing for our bodies, hearts, and minds.</p><p id="""">Join us for a practice of nourishing the Body, Heart, and Mind - a meditation and mindful eating experience.</p><p id="""">Our bodies, hearts, and minds are nourished by the actual food we consume, as well as our sensory experience, intentions, and awareness itself. Mindful Eating is a practice of being fully present and aware while preparing and consuming food, paying attention to the food and its source, our relationship to the food, and its impact on our well-being. It encompasses being conscious of our intentions, considering sensory experiences, and cultivating an awakened consciousness while consuming food.</p><p id="""">This workshop is designed to cultivate presence, connection, and nourishment. Participants will have the opportunity to explore and practice the profound benefits of meditation and the art of mindful eating. There will be periods of guided meditation, noble silence, and shared experience.<br></p>",<p>Registration for this workshop has closed. </p>,"Wed, Nov 20 ",6:00-7:30 pm,"Wed, Nov 20 | 6:00-7:30 pm",In Person at Rooted In Mindfulness,,Suggested Donation: $45,<p>Registration for the workshop has closed.</p>,"<p id="""">Registration for this workshop has closed.</p>",true,true,amy-gardner,,,true,false,wednesday,,,Wednesday,wjt1wLtcH8us,6:00-7:30pm,,
Essential Dharma Study ,essential-dharma-study,5fa08aefda60b60f4d84b62a,653aca94fee370592ef53f08,60abd43c30a718340dbb852c,false,false,Mon May 24 2021 16:28:44 GMT+0000 (Coordinated Universal Time),Thu Jan 08 2026 19:52:25 GMT+0000 (Coordinated Universal Time),Mon Jan 12 2026 02:03:29 GMT+0000 (Coordinated Universal Time),drop-ins-open-practice-and-learning,An Ongoing Exploration into The Essence of Traditional Buddhist Teachings,"""The dharma is every breath we take, every thought we think, every word we speak, if we do it with awareness and an open, caring heart.""",Tenzin Palmo,"<h4 id="""">About this Dharma Study Group</h4><p id="""">Join us on a journey of discovery and personal growth with our Essential Dharma Study Group at RIM, a supportive community dedicated to exploring the core teachings shared by most major Buddhist schools. Together, we aim to help each other seamlessly integrate these teachings into our meditation practices and daily lives, fostering a deeper connection to the Essential Dharma.</p><h4 id="""">Embracing the Spirit of Kalyana Mitta</h4><p id="""">Kalyana Mitta, a Pali term meaning ""spiritual friend,"" embodies the essence of our group. By engaging with fellow travelers on the Dharma path, we encourage ongoing learning, meditation practice, and mindful living. Our Essential Dharma Study Group is a place of connection and mutual support, open to all RIM community members, from newcomers to seasoned practitioners.</p><h4 id="""">Guidance, Support, and Shared Wisdom</h4><p id="""">Facilitated by RIM's Guiding Teacher, Jesse Foy, our group emphasizes peer-to-peer dialogue and shared practice. In Jesse's absence, we hold space for one another, drawing on the collective wisdom and diverse experiences of our fellow practitioners.</p><h4 id="""">Meeting Schedule and Format</h4><p id="""">Our Essential Dharma Study Group meets each Thursday between Essential Dharma Courses, from 9:30 am to 10:30 am. Each session delves into a specific Dharma topic chosen by us or the guiding teacher, with an equal opportunity for all members to share their insights and experiences. The session concludes with a short Loving-Kindness practice.</p><h4 id="""">Learning and Practice Beyond Meetings</h4><p id="""">We encourage each other to actively engage with the Dharma topics explored in group sessions and complementary Essential Dharma Study Courses. By examining patterns in our daily lives, we create a starting point for discussion at the next meeting, with each participant benefiting from the discoveries of all members.</p><h4 id="""">An Online Community Space for Continued Connection</h4><p id="""">As registered participants, we will have access to a private online space, where we can further connect, learn, and receive practice support. Participation in the online community is encouraged but optional, offering a safe and supportive environment for us to share resources, discuss topics, and deepen our understanding of the Essential Dharma.</p>","<h4 id="""">Registration</h4><h6 id="""">Please register once to join and participate in this ongoing study group. <br></h6>",Thursday Mornings,9:30-10:30 AM,Thursdays | 9:30-10:30 am (CT) | Zoom Only ,Online (Zoom),,Offered through the Spirit of Dana (Generosity),"<p id="""">To participate in this and other RIM&nbsp;community programs, please <a href=""/community-membership"" id="""">Create a (free) Member Account</a>. If you already have an account, simply <a href=""/login"">Sign-In</a> and go to your dashboard.</p>","<p id="""">To participate, all you need to do is register and join us! A Zoom link will be accessible in your dashboard on the day of our meeting. We look forward to learning and practicing with you!</p><p id="""">‍</p>",true,false,jesse-foy; rim-community-members,,,false,false,thursday,4.2,https://cdn.prod.website-files.com/5c1d5875be406805d3bb99dd/5fac40b7334f858c94469c44_Real%20Change.jpg,Thursday,7562PfDDk6us,,https://us02web.zoom.us/j/83872452614?pwd=6UFXr47ICeHim1KDKGypMmuZ5lyjgD.1,Join Zoom
