Lesson Title - INTERNAL,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Lesson Title - DISPLAYED,Section Title?,Podcast ID,Video Lesson Link,Lesson Content,Includes Audio?,Header Quote,Quote Source,Teachers,Downloadable Resources
Approaching the Dharma: Cultivating Wholesome Mind-States,approaching-the-dharma-cultivating-wholesome-mind-states,5fb2f823dd801635b9416eaf,653aca94fee370592ef53f08,62d186dda6d78873bb2dd35b,false,false,Fri Jul 15 2022 15:25:17 GMT+0000 (Coordinated Universal Time),Fri Jul 15 2022 16:11:42 GMT+0000 (Coordinated Universal Time),Fri Jul 15 2022 16:12:48 GMT+0000 (Coordinated Universal Time),Part 2: Cultivating Wholesome Mind-States,false,,,,false,,,,
Approaching the Dharma: Domains of Contemplation,approaching-the-dharma-domains-of-contemplation,5fb2f823dd801635b9416eaf,653aca94fee370592ef53f08,62d1874dc791e326acddc62c,false,false,Fri Jul 15 2022 15:27:09 GMT+0000 (Coordinated Universal Time),Fri Jul 15 2022 16:12:05 GMT+0000 (Coordinated Universal Time),Fri Jul 15 2022 16:12:48 GMT+0000 (Coordinated Universal Time),Part 4: Domains of Contemplation,false,,,,false,,,,
Approaching the Dharma: Guiding Aspirations,approaching-the-dharma-guiding-aspirations,5fb2f823dd801635b9416eaf,653aca94fee370592ef53f08,62d18a92dd00f320a01afdbe,false,false,Fri Jul 15 2022 15:41:06 GMT+0000 (Coordinated Universal Time),Fri Jul 15 2022 16:12:43 GMT+0000 (Coordinated Universal Time),Fri Jul 15 2022 16:12:48 GMT+0000 (Coordinated Universal Time),Part 7: Guiding Aspirations,false,,,,false,,,,
Approaching the Dharma: How to Contemplate,approaching-the-dharma-how-to-contemplate,5fb2f823dd801635b9416eaf,653aca94fee370592ef53f08,62d18768cacbaf1da301eb75,false,false,Fri Jul 15 2022 15:27:36 GMT+0000 (Coordinated Universal Time),Fri Jul 15 2022 16:12:22 GMT+0000 (Coordinated Universal Time),Fri Jul 15 2022 16:12:48 GMT+0000 (Coordinated Universal Time),Part 5: How to Contemplate,false,,,,false,,,,
Approaching the Dharma: Investigating The Dharma,approaching-the-dharma-investigating-the-dharma,5fb2f823dd801635b9416eaf,653aca94fee370592ef53f08,62ed720c0a7ec33e64dfc824,false,false,Fri Aug 05 2022 19:39:56 GMT+0000 (Coordinated Universal Time),Thu Aug 11 2022 14:42:05 GMT+0000 (Coordinated Universal Time),Thu Aug 11 2022 14:42:13 GMT+0000 (Coordinated Universal Time),Investigating The Dharma: 4 Truths + 5-Hindrances + 7-Factors,false,,,"<p id=""""><strong id="""">NOTE: Class summary recording will be added when Jesse returns.</strong></p><p id="""">This week, we discussed how to Investigate the Dharma in relation to the <em id="""">Approaching the Dharma Model</em>.</p><p id="""">Jesse recommended specific practices and contemplations to help integrate the dharma talks into your meditation &nbsp;and mindful living practice.</p><ul start="""" id=""""><li id="""">Practice abiding in ""Path as Refuge."" Intentionally choose refuge in the '3 Refuges' and 'The Noble Path.'</li><li id="""">Practice remembering and living in a way that is informed by the ""Guiding Aspirations"" along with the ""Path as Refuge.""</li><li id="""">Practice Investigating and gaining insight into 'The 4-Noble Truths</li><li id="""">Practice Investigating when the <a href=""https://drive.google.com/file/d/1ybKM5kBalKxz7-98O62EHs0r51ghX7Hm/view?usp=sharing"" id="""">5-hindrances</a> are present and not present in your lived experience. See how they are part of the ""Transformed Unwholesome Mind-States"" category.</li><li id="""">Practice Investigating when the <a href=""https://drive.google.com/file/d/197DVTpkZwmtY4btSlIFrX0dR7hwajyp6/view?usp=sharing"">7-factors of awakening</a> are present and not present in your lived experience. See how they are part of the ""Cultivate Holesome Mind-States"" category.</li></ul><p id="""">The intention is to become familiar and use the enlightenment factor of ""Investigating the Dharma"" to become a bit more familiar with the practice. Consider taking notes, and identify any insights or questions related to these activities. Try to keep an ardent yet laid-back approach to your practice and learning. Do as much as it feels helpful. Push yourself a little bit, but don't create on necessary stress and agitation.</p><p id="""">Remember, this practice creates real happiness. Look for the joys and not only the struggles. May your learning and practice transform ill=being and promote well-being for yourself and others. </p>",false,"""Our life is shaped by our mind; we become what we think. Suffering follows an unwholesome thought as the wheels of a cart follow the oxen that pull it. Our life is shaped by our mind; we become what we think. Joy follows a pure thought like a shadow that never leaves.""",Buddha,jesse-foy,
Approaching the Dharma: Liberating Insights,approaching-the-dharma-liberating-insights,5fb2f823dd801635b9416eaf,653aca94fee370592ef53f08,62d18a76714254ce2d992d27,false,false,Fri Jul 15 2022 15:40:38 GMT+0000 (Coordinated Universal Time),Fri Jul 15 2022 16:12:35 GMT+0000 (Coordinated Universal Time),Fri Jul 15 2022 16:12:48 GMT+0000 (Coordinated Universal Time),Part 6: Liberating Insights,false,,,,false,,,,
Approaching the Dharma: Path as Refuge,approaching-the-dharma-path-as-refuge,5fb2f823dd801635b9416eaf,653aca94fee370592ef53f08,62d1869b4c9e20068cc56258,false,false,Fri Jul 15 2022 15:24:11 GMT+0000 (Coordinated Universal Time),Thu Jul 21 2022 21:26:47 GMT+0000 (Coordinated Universal Time),Thu Jul 21 2022 21:26:47 GMT+0000 (Coordinated Universal Time),Part 1: Path as Refuge,false,ced26567-caaf-4d27-bf43-bfb7aaab3280,,"<p>This is an edited recording of the first session of the Approaching the Dharma Series, exploring ""The Path as Refuge"" category of the model. </p>",true,,,jesse-foy,
Approaching the Dharma: Transforming Unwholesome Mind-States,approaching-the-dharma-transforming-unwholesome-mind-states,5fb2f823dd801635b9416eaf,653aca94fee370592ef53f08,62d18710c791e35821ddbe58,false,false,Fri Jul 15 2022 15:26:08 GMT+0000 (Coordinated Universal Time),Fri Jul 15 2022 16:11:54 GMT+0000 (Coordinated Universal Time),Fri Jul 15 2022 16:12:48 GMT+0000 (Coordinated Universal Time),Part 3: Transforming Unwholesome Mind-States,false,,,,false,,,,
Approaching the Dharma: Using our intelligence,approaching-the-dharma-using-our-intelligence,5fb2f823dd801635b9416eaf,653aca94fee370592ef53f08,62e401b96700c942413e9afd,false,false,Fri Jul 29 2022 15:50:17 GMT+0000 (Coordinated Universal Time),Fri Aug 05 2022 19:48:21 GMT+0000 (Coordinated Universal Time),Fri Aug 05 2022 19:48:31 GMT+0000 (Coordinated Universal Time),Using our intelligence,false,8568fa41-d984-47e0-bbb2-eba3cff63e67,,"<p id="""">This is an edited recording of the second session of the Approaching the Dharma Series. This shortened talk discusses the importance of ""Using our intelligence"" as a means to contemplate the Dharma. </p>",true,,,jesse-foy,
Body Scan Meditation - Wisdom of the Body,wisdom-of-the-body-body-scan-meditation,5fb2f823dd801635b9416eaf,653aca94fee370592ef53f08,600a27f1c43308e651dcf7fe,false,false,Fri Jan 22 2021 01:18:41 GMT+0000 (Coordinated Universal Time),Tue May 24 2022 22:03:56 GMT+0000 (Coordinated Universal Time),Tue May 24 2022 22:04:08 GMT+0000 (Coordinated Universal Time),Body Scan Meditation,false,1cb39cfa-08b7-40fd-9caf-dc58f16fe7fa,,"<p>Establishing awareness that is calm, stable, and mindful of change is beneficial to support a greater sense of well-being. In this offering of a body scan meditation, you will be guided through a traditional practice of paying attention to the body in a particular way, supporting a healthy, healing relationship with the body. </p><p>Using this as part of a daily meditation practice will be helpful. Additionally, during your daily routine, simply invite pause and bring awareness to changing sensations in the body as often as you can remember.</p>",true,,,amy-gardner,
