Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Position Description,Visible On Volunteer Listing Page?,Open <> Filled Switch,Current Volunteers
Audio/Visual Volunteer,audio-visual-volunteer,6104394ccabf7e321aaf0efb,653aca94fee370592ef53f08,610d7c4bd250581cc27979de,false,false,Fri Aug 06 2021 18:15:39 GMT+0000 (Coordinated Universal Time),Tue Aug 23 2022 19:15:03 GMT+0000 (Coordinated Universal Time),Tue Aug 23 2022 19:17:35 GMT+0000 (Coordinated Universal Time),"<p>As an Audio/Visual Volunteer, you help make RIM's programs accessible to both in-person and virtual community members so that everyone can learn and practice together. Audio/Visual Volunteers manage the cameras and microphones in the meditation hall and ensure that Zoom video and audio are accessible to all participants.</p><h3>Responsibilities</h3><p>The Audio/Visual equipment and procedures have been implemented to be easy to learn and manage. You will be trained to:</p><ul><li>Arrive 30 minutes before the relevant offering </li><li>Turn on and off equipment before and after each session</li><li>Check and ensure all equipment and software is ready for use</li><li>Control camera views and sound through easy to use software and buttons</li><li>Perform troubleshooting and problem resolution with software and equipment when needed</li><li>Help community members use equipment</li></ul><h3>Skills, Experience, and Qualities</h3><p>The Audio/Visual Volunteer position has been designed to be easily fulfilled by anyone who goes through a short training session. The following skills, experience, and qualities are necessary for this role.</p><ul><li>Basic comfort with computers and equipment</li><li>Able to perform simple troubleshooting and problem resolution</li><li>Able to commit to the role and be punctual</li><li>Comfort helping others</li><li>Willingness to learn</li><li>A friendly, supportive, and non-judgmental attitude</li><li>Openness to learning about stewardship and make it an embodied personal practice while volunteering</li><li>Able and willing to collaborate with others for the benefit of the entire RIM&nbsp;community</li></ul><h3>Commitment</h3><ul><li><strong>Term: </strong>at least<strong> </strong>6 months </li><li><strong>Time Commitment:</strong> As needed for chosen offering</li></ul><h3>Special Notes</h3><p>Audio/Visual Volunteers play an essential role at RIM. Your participation allows RIM to operate as a hybrid center, where members can participate in person and through Zoom. You will be part of a larger team of Audio/Visual Volunteers, each committing to one or more program offerings.</p>",true,true,amy-gardner; christine-jacobi; mohammed-nubhasha; silvia-pasquini; monty; nancy-lakam; salomao-doria-jorge
Dana Ambassador,dana-ambassador,6104394ccabf7e321aaf0efb,653aca94fee370592ef53f08,6106efeae4b551001a76042a,true,false,Sun Aug 01 2021 19:03:06 GMT+0000 (Coordinated Universal Time),Fri Aug 06 2021 22:52:07 GMT+0000 (Coordinated Universal Time),,"<p>The Dana Ambassador is responsible for the ongoing development and implementation of RIM's donor program based on RIM's guiding principles, generosity, goodwill, and mutual support. </p><h3>Responsibilities</h3><p>Nunc, quam blandit in vitae. Est lacus, diam enim in venenatis a etiam egestas. Scelerisque egestas imperdiet integer magna blandit egestas enim est arcu.</p><ul><li>Be an ambasitor RIM's Generosity-Based Model</li><li>Manage Donation Management software and </li></ul><h3>Skills, Experience, and Qualities</h3><p>Nunc, quam blandit in vitae. Est lacus, diam enim in venenatis a etiam egestas. Scelerisque egestas imperdiet integer magna blandit egestas enim est a. Non in egestas lectus quis vestibulum dapibus viverra risus orci. Consectetur hac convallis in molestie ac arcu.</p><ul><li>List Item 1</li><li>List Item 2</li><li>List Item 3</li></ul><h3>Special Notes</h3><p>Neque, ut tellus est integer massa libero viverra risus id. Purus pellentesque eget id in est venenatis tellus. Nec, rhoncus dignissim aliquet pulvinar sed. Elementum malesuada in sagittis at. Venenatis ipsum senectus diam cursus tortor eget. Sollicitudin a nisi rhoncus at netus porttitor lectus amet aliquet. Metus ipsum lacus, pharetra non amet, non, tincidunt.</p>",false,false,
Fall Retreat Help: Tech Support,fall-retreat-help-tech-support,6104394ccabf7e321aaf0efb,653aca94fee370592ef53f08,62bca12a04550d3369d77b7d,false,false,Wed Jun 29 2022 18:59:54 GMT+0000 (Coordinated Universal Time),Thu Jan 19 2023 16:43:44 GMT+0000 (Coordinated Universal Time),Thu Jan 19 2023 16:44:10 GMT+0000 (Coordinated Universal Time),<p>Are you attending the Fall Retreat at The Christine Center? We could use your help with tech support. </p><h3>Needs and Requirements </h3><ul><li>Sets up and manages Audio System during the retreat. </li><li>Good Understanding of Audio Equipment is needed - will train volunteer on the RIM system.</li><li>Please arrive at The Christine Center at 1:30pm so that there is time to set up the sound equipment. <br></li></ul><h3>Notes</h3><p>Your help is appreciated. Please fill out the form below to let us know that you are interested in helping with tech support.</p>,false,false,mike-ferguson
Good Evening Meditation Community Guide,good-evening-meditation-community-guide,6104394ccabf7e321aaf0efb,653aca94fee370592ef53f08,62977b29ab92396073a654e2,false,false,Wed Jun 01 2022 14:43:53 GMT+0000 (Coordinated Universal Time),Mon Mar 13 2023 21:31:38 GMT+0000 (Coordinated Universal Time),Mon Mar 13 2023 21:32:50 GMT+0000 (Coordinated Universal Time),<p>Community Guides provide the Rooted in Mindfulness Community with opportunities for daily meditation practice together. Practice sessions are held mostly in silence each morning and evening for 30 minutes.</p><h3>Responsibilities</h3><ul><li>Logging in to RIM zoom account</li><li>Reading meditation script provided by Guiding Teacher</li><li>Logging out of RIM zoom account</li><li>Meeting with the whole group of Community Guides on a quarterly basis</li></ul><h3>Position Requirements</h3><ul><li>Dedicated to a regular meditation practice for at least 1 year</li><li>Understands the Vision and Mission of RIM</li><li>Experience guiding meditations or willingness to learn </li><li>Cares for the cultivation and growth of a diverse meditation community</li></ul><h3>Community Connections</h3><ul><li><strong>Checks in with:</strong> GM/GE Meditation Coordinator</li><li><strong>Team Members: Other GM/GE Community Guides</strong></li></ul><h3>Anticipated Time Commitment and Involvement </h3><ul><li><strong>Position Term:</strong> 6 Months </li><li><strong>Time commitment:</strong> 30 minutes per week </li><li><strong>Location: Practice is guided from your own home via zoom</strong></li></ul>,true,true,jessica-chapin; christine-jacobi; marcelo-pasquini; annie-repaci; cindy-shicotte; jamie-smidt; sara-neall; thomas-windsor; deepak-sharma
Good Morning Meditation Community Guide,good-morning-meditation-community-guide,6104394ccabf7e321aaf0efb,653aca94fee370592ef53f08,629779fab92eea65ed0c98ac,false,false,Wed Jun 01 2022 14:38:50 GMT+0000 (Coordinated Universal Time),Fri Jul 21 2023 23:24:32 GMT+0000 (Coordinated Universal Time),Fri Jul 21 2023 23:24:40 GMT+0000 (Coordinated Universal Time),<p>Community Guides provide the Rooted in Mindfulness Community with opportunities for daily meditation practice together. Practice sessions are held mostly in silence each morning and evening for 30 minutes.</p><h3>Responsibilities</h3><ul><li>Logging in to RIM zoom account</li><li>Reading meditation script provided by Guiding Teacher</li><li>Logging out of RIM zoom account</li><li>Meeting with the whole group of Community Guides on a quarterly basis</li></ul><h3>Position Requirements</h3><ul><li>Dedicated to a regular meditation practice for at least 1 year</li><li>Understands the Vision and Mission of RIM</li><li>Experience guiding meditations or willingness to learn </li><li>Cares for the cultivation and growth of a diverse meditation community</li></ul><h3>Community Connections</h3><ul><li><strong>Checks in with:</strong> GM/GE Meditation Coordinator</li><li><strong>Team Members: Other GM/GE Community Guides</strong></li></ul><h3>Anticipated Time Commitment and Involvement </h3><ul><li><strong>Position Term:</strong> 6 Months </li><li><strong>Time commitment:</strong> 30 minutes per week </li><li><strong>Location: Practice is guided from your own home via zoom</strong></li></ul><p>‍</p>,true,true,amy-gardner; susanne-adams; judy-radtke; jim-voelz; thomas-windsor; jamshid-zonoozi; tera-sunnell
Good Morning/Evening Meditation Facilitator,good-morning-and-evening-meditation-facilitator,6104394ccabf7e321aaf0efb,653aca94fee370592ef53f08,6106ef4e0f976c6bd36e6ae4,true,false,Sun Aug 01 2021 19:00:30 GMT+0000 (Coordinated Universal Time),Wed Jun 01 2022 13:12:07 GMT+0000 (Coordinated Universal Time),,"<p>Vitae sollicitudin consequat volutpat augue molestie orci, cursus ultricies. Elementum placerat tortor tristique habitant sed et non laoreet eleifend. Est cursus mattis lacus, viverra pharetra pellentesque suspendisse morbi. </p><h3>Responsibilities</h3><p>Nunc, quam blandit in vitae. Est lacus, diam enim in venenatis a etiam egestas. Scelerisque egestas imperdiet integer magna blandit egestas enim est arcu.</p><ul><li>List Item 1</li><li>List Item 2</li><li>List Item 3</li></ul><h3>Skills, Experience, and Qualities</h3><p>Nunc, quam blandit in vitae. Est lacus, diam enim in venenatis a etiam egestas. Scelerisque egestas imperdiet integer magna blandit egestas enim est a. Non in egestas lectus quis vestibulum dapibus viverra risus orci. Consectetur hac convallis in molestie ac arcu.</p><ul><li>List Item 1</li><li>List Item 2</li><li>List Item 3</li></ul><h3>Special Notes</h3><p>Neque, ut tellus est integer massa libero viverra risus id. Purus pellentesque eget id in est venenatis tellus. Nec, rhoncus dignissim aliquet pulvinar sed. Elementum malesuada in sagittis at. Venenatis ipsum senectus diam cursus tortor eget. Sollicitudin a nisi rhoncus at netus porttitor lectus amet aliquet. Metus ipsum lacus, pharetra non amet, non, tincidunt.</p>",false,false,
Good Morning/Good Evening Meditation Coordinator,good-morning-good-evening-meditation-coordinator,6104394ccabf7e321aaf0efb,653aca94fee370592ef53f08,62977b9bf28ed12475ab5db4,false,false,Wed Jun 01 2022 14:45:47 GMT+0000 (Coordinated Universal Time),Tue Aug 23 2022 19:09:55 GMT+0000 (Coordinated Universal Time),Tue Aug 23 2022 19:10:57 GMT+0000 (Coordinated Universal Time),"<p>The GM/GE Meditation Coordinator will ensure Community Guides are supported with training and scheduling of daily morning and evening virtual meditation sessions. &nbsp; </p><h2>Responsibilities</h2><ul><li>Coordinate and organize the general logistics of the GM/GE Meditation program. </li><li>Manage the Morning and Evening meditation schedule, finding substitutes when needed.</li><li>Elicit new community volunteers to guide the sessions when needed. </li><li>Collaborate with Guiding Teacher and Community Guides to onboard new volunteers.</li><li>Collaborate with Guiding Teacher and Community Guides to support and ensure the intentions of the sessions remain aligned with RIM’s mission and vision. </li><li>Organize and facilitate quarterly meetings with Community Guides to create a sense of group cohesion and exchange ideas and experiences.</li></ul><h2>Skills, Experience, and Qualities</h2><ul><li>Invested in cultivating and growing a healthy and diverse RIM community </li><li>Sensitive to working with people with diverse backgrounds</li><li>Able to model mindful listening and speaking</li><li>Able to collaborate well with others</li><li>Proficient verbal and written communication skills</li><li>Comfortable with basic computer skills and willingness to learn</li></ul><h2>Team Collaboration</h2><ul><li>The GM/GE Coordinator <strong>is supported</strong> by the Guiding Teacher and the Board of Directors. In order to fulfill their responsibilities, the Coordinator <strong>may collaborate </strong>with the following team members: Support team, Volunteer Coordinator, Newsletter, and other RIM volunteers.</li></ul><h2>Anticipated Time Commitment and Involvement </h2><ul><li><strong>Position Term:</strong> 1 year</li><li><strong>Time commitment: </strong>Varies - When scheduling, average 1 hour per week. Quarterly 1 hour check-ins with Guiding Teacher and Guides. Periodic emails to ensure schedule stability. &nbsp;<strong>‍</strong></li><li><strong>Location:</strong> Flexible - Rooted In Mindfulness, Zoom, Home.</li></ul>",true,false,sara-neall
Greeter,greeter,6104394ccabf7e321aaf0efb,653aca94fee370592ef53f08,6106f1b88346ad3f4e46e61f,false,false,Sun Aug 01 2021 19:10:48 GMT+0000 (Coordinated Universal Time),Thu Aug 24 2023 01:24:17 GMT+0000 (Coordinated Universal Time),Thu Aug 24 2023 01:24:22 GMT+0000 (Coordinated Universal Time),"<p>As a Greeter volunteer, you help fellow community members and visitors feel welcome, safe, comfortable and supported at RIM's in-person offerings. Greeters also help prepare the meditation and community room spaces to create a clean and supportive environment. Most offerings will have a team of two greeters/openers.</p><h3>Responsibilities</h3><ul><li>Opens and readies the community room and meditation hall for community participants.</li><li>Welcomes current members and visitors as they arrive to the Center.</li><li>Offers direction for new people to the Meditation and Community Rooms, restrooms, tea &amp; snack area, library, information area, etc.</li><li>Answers any questions and concerns related to RIM, its offerings, practice of dana, etc.</li><li>Helps support those with specific needs, i.e., listening devices, seating, etc.</li></ul><h3>Skills, Experience, and Qualities</h3><ul><li>Commit to arrive at least 30 minutes before a class or event and remain 15 minutes after the close of the session.</li><li>A friendly, supportive, and non-judgmental attitude.</li><li>Sensitivity to the needs of each person and ability to modulate your interactions accordingly to create a welcoming, safe, and comfortable experience for all.</li><li>Openness to learning about stewardship and make it an embodied personal practice while volunteering. </li><li>Openness to learning how to help participants understand and embody the shared values and best practices related to learning and practicing as a community.</li><li>Able and willing to collaborate with others for the benefit of the entire RIM community. </li></ul><h3>Commitment</h3><ul><li><strong>Term: </strong>at least<strong> </strong>6 months </li><li><strong>Time Commitment:</strong> As needed for chosen offering</li></ul>",true,true,amy-gardner; annie-repaci; chawki-belhadi; cindy-shicotte; kerry-thomas; lorilee-villwock; marne-taylor; wendy-peche; mike-ferguson
Housekeeping,housekeeping,6104394ccabf7e321aaf0efb,653aca94fee370592ef53f08,6269d64b8ba27f2d3299292d,false,false,Wed Apr 27 2022 23:48:27 GMT+0000 (Coordinated Universal Time),Thu Jan 26 2023 21:26:42 GMT+0000 (Coordinated Universal Time),Thu Jan 26 2023 21:30:24 GMT+0000 (Coordinated Universal Time),"<p>Help maintain and ensure the warmth, beauty and peacefulness of the Center’s physical space. Housekeeping maintains cleanliness and neatness of the Meditation Room, Community Room, and Admin Office on a weekly basis as a generous service to the entire community.</p><h3>Responsibilities</h3><ul><li>Vacuuming and dusting Community Room &amp; Admin Office</li><li>Cleaning surfaces &amp; Tidying up Tea area</li><li>Vacuuming, mopping &amp; dusting Meditation Room</li><li>Emptying garbage in the Center where needed</li><li>Setting up the Meditation Room for the next occurring class on the RIM Calendar</li></ul><h3>Position Requirements</h3><ul><li>Attention to detail</li><li>Ability to lift and move large and small meditation cushions and chairs</li><li>Able to take direction</li><li>Finds joy in performing tasks essential to co-create the Center’s beauty</li></ul><h3>Community Connections</h3><ul><li><strong>Checks-in with:</strong> Volunteer Coordinator</li><li><strong>Related to:</strong> Room Set-Up, RIM Calendar </li></ul><h3>Anticipated Time Commitment and Involvement </h3><ul><li><strong>Position Term:</strong> 6 months</li><li><strong>Time commitment:</strong> 1.5 hour a week, 4 times per month (divided by team members)</li><li><strong>Suggested &nbsp;cleaning days:</strong> Ideally prior to drop-ins (Monday, Tuesday or Saturdays, but can be flexible to accommodate volunteer’s availability)</li><li>‍<strong>Location:</strong> At Rooted In Mindfulness</li></ul>",true,true,rob-schoenecker; silvia-pasquini; jeff-heilman; adi-puplampu
Kalyana Mitta Group Coordinator,kalyana-mitta-group-coordinator,6104394ccabf7e321aaf0efb,653aca94fee370592ef53f08,61d5ac4d89a4ab4b5cabf011,false,false,Wed Jan 05 2022 14:33:49 GMT+0000 (Coordinated Universal Time),Fri Jul 21 2023 23:22:59 GMT+0000 (Coordinated Universal Time),Fri Jul 21 2023 23:23:03 GMT+0000 (Coordinated Universal Time),"<p>Kalyana Mitta (spiritual friends) groups allow RIM community members to connect with others in a safe, friendly, and supportive setting. These groups support learning, practice and complement all other programs at RIM. </p><p>The Kalyana Mitta Group Coordinator helps fellow community members navigate the process to bring a KM group to life. The coordinator supports facilitators as they get started, become established, and fulfill the group's intentions while remaining aligned with RIM's mission and vision.</p><h3>Responsibilities</h3><ul><li>Steward the meaning and purpose of Kalyana Mitta Groups;</li><li>Manage and support members who are submitting KM Group applications;</li><li>Collaborate with Guiding Teacher and other involved members to review KM group applications;</li><li>Coordinate, organize, and manage the general logistics of the KM program.</li></ul><h3>Skills, Experience, and Qualities</h3><ul><li>Ability to work independently, set up priorities, and follow-through</li><li>Sensitive to working with people with diverse backgrounds</li><li>Able to collaborate well with others</li><li>Willing to support and empower community members</li><li>Proficient verbal and written communication skills</li><li>Comfortable with basic computer skills and willingness to learn</li></ul><h3>Commitment</h3><ul><li><strong>Term: </strong>At least<strong> </strong>1 year </li><li><strong>Time Commitment:</strong> Typically 1-2 hours / week</li></ul>",true,false,
