English Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Pali,Sanskrit,Synonyms
Altruistic Aspiration For Awakening,altruistic-aspiration-for-awakening,66634eed9601e559555f45f7,653aca94fee370592ef53f08,6663591b1de0aeba878cf10d,false,false,Fri Jun 07 2024 19:01:47 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:01:47 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),Bodhicitta,Bodhicitta,
Appreciative Joy,appreciative-joy,66634eed9601e559555f45f7,653aca94fee370592ef53f08,6663591e5c82492024e3ae34,false,false,Fri Jun 07 2024 19:01:50 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:01:50 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),Muditā,Muditā,
Arising / Passing Away,arising-passing-away,66634eed9601e559555f45f7,653aca94fee370592ef53f08,666359278af5cfe8cc2c2546,false,false,Fri Jun 07 2024 19:01:59 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:01:59 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),Samudaya / Vaya,Samudaya / Vyaya,
Attention,attention,66634eed9601e559555f45f7,653aca94fee370592ef53f08,6663592391daa80855ec063f,false,false,Fri Jun 07 2024 19:01:55 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:01:55 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),Manasikāra,Manasikāra,
Avarice,avarice,66634eed9601e559555f45f7,653aca94fee370592ef53f08,666359221a473129973f5f2c,false,false,Fri Jun 07 2024 19:01:54 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:01:54 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),Macchariya,Mātsarya,
Aversion / Hatred,aversion-hatred,66634eed9601e559555f45f7,653aca94fee370592ef53f08,6663592296f80f697ddbc454,false,false,Fri Jun 07 2024 19:01:54 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:01:54 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),Dosa,Dveṣa,
Bare Knowledge + Continuous Mindfulness,bare-knowledge-continuous-mindfulness,66634eed9601e559555f45f7,653aca94fee370592ef53f08,666359284a9e25f8d52703cf,false,false,Fri Jun 07 2024 19:02:00 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:00 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),Ñāṇamattāya Paṭissatimattāya,Jñānamātraḥ Smṛtimātraḥ,
Becoming / Existence,becoming-existence,66634eed9601e559555f45f7,653aca94fee370592ef53f08,66635923bdf04ada700abb52,false,false,Fri Jun 07 2024 19:01:55 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:01:55 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),Bhava,Bhava,
Birth,birth,66634eed9601e559555f45f7,653aca94fee370592ef53f08,66635923d29a9c2efae9ad38,false,false,Fri Jun 07 2024 19:01:55 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:01:55 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),Jāti,Jāti,
Bodhisattva Vows,bodhisattva-vows,66634eed9601e559555f45f7,653aca94fee370592ef53f08,6663591bb2d3d56a1d06a851,false,false,Fri Jun 07 2024 19:01:47 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:01:47 GMT+0000 (Coordinated Universal Time),Fri Jun 07 2024 19:02:39 GMT+0000 (Coordinated Universal Time),Bodhisattva Paṇidhāna,Bodhisattva Praṇidhāna,
